n,t,run diff,run intersection size,random pair intersection size,max diff alter,max diff alter intersection size,min diff alter,min diff alter intersection size
100,1,0,2,2,1,2,0,2
100,1,0,2,2,0,2,0,2
100,1,0,2,2,2,2,0,3
100,1,0,2,2,2,2,0,4
100,1,0,2,2,1,2,0,2
100,1,0,2,2,4,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,5,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,1,2,3,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,3,4,2,0,3
100,1,0,2,2,3,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,4,2,0,2
100,1,0,2,2,4,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,0,2,0,2
100,1,0,2,2,4,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,4,2,0,2
100,1,0,1,2,4,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,0,2,0,2
100,1,0,2,2,7,2,0,2
100,1,0,1,2,1,2,0,2
100,1,0,2,5,0,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,5,2,0,2
100,1,0,2,2,4,2,0,2
100,1,0,1,6,0,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,2,2,0,3
100,1,0,2,2,4,2,0,6
100,1,0,2,2,3,2,0,6
100,1,0,2,2,2,2,0,1
100,1,0,2,2,2,2,0,2
100,1,0,2,2,5,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,5,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,4,2,0,2
100,1,0,2,2,5,2,0,2
100,1,0,2,2,4,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,1,2,3,2,0,2
100,1,0,2,7,2,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,1,2,3,2,0,1
100,1,0,2,2,3,2,0,1
100,1,0,2,2,5,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,3,2,0,3
100,1,0,2,2,4,2,0,2
100,1,0,1,2,3,2,0,3
100,1,0,2,2,3,2,0,2
100,1,0,2,2,6,2,0,4
100,1,0,2,2,5,2,0,3
100,1,0,2,2,1,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,7,2,0,2
100,1,0,2,2,2,2,0,1
100,1,0,2,2,0,2,0,2
100,1,0,2,2,4,2,0,2
100,1,0,2,2,2,2,0,1
100,1,0,2,2,7,2,0,2
100,1,0,2,2,5,2,0,1
100,1,0,2,2,4,2,0,2
100,1,0,2,2,8,2,0,4
100,1,0,2,3,1,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,7,2,0,6
100,1,0,2,2,0,2,0,2
100,1,0,2,2,4,2,0,2
100,1,0,2,1,1,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,6,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,1,2,2,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,0,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,4,2,0,3
100,1,0,2,2,2,7,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,4,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,1,1,2,0,6
100,1,0,2,2,1,2,0,3
100,1,0,2,2,2,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,4,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,5,2,0,5
100,1,0,2,2,2,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,4,2,0,2
100,1,0,2,2,5,2,0,2
100,1,0,2,1,0,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,0,2,0,2
100,1,0,2,2,5,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,0,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,3,2,0,1
100,1,0,2,2,1,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,8,2,0,2
100,1,0,2,2,4,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,2,2,0,5
100,1,0,2,2,3,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,0,2,0,2
100,1,0,2,2,4,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,6,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,2,2,0,3
100,1,0,2,2,2,2,0,2
100,1,0,2,2,1,1,0,2
100,1,0,2,2,1,2,0,4
100,1,0,2,2,2,2,0,2
100,1,0,2,2,2,2,0,2
100,1,0,2,2,1,2,0,2
100,1,0,2,2,3,2,0,2
100,1,0,2,2,2,2,0,2
